date,Product,Customer_name,Year,Month,Quarter,Purchase_amount
1/5/2018,110100570122--AMI,70,2018,May,2,7000
1/5/2018,110100570122--AMI,73,2018,May,2,5250
1/5/2018,110100570122--AMI,75,2018,May,2,525
1/5/2018,110100570122--AMI,80,2018,May,2,25200
1/5/2018,110100570122--AMI,87,2018,May,2,1400
1/5/2018,110100570122--AMI,88,2018,May,2,1225
1/5/2018,110100570122--AMI,91,2018,May,2,525
1/5/2018,110100570122--AMI,93,2018,May,2,875
1/5/2018,110100570122--AMI,94,2018,May,2,175
1/5/2018,110100570122--AMI,96,2018,May,2,525
1/5/2018,110100570122--AMI,97,2018,May,2,4375
1/5/2018,110100570122--AMI,109,2018,May,2,10500
1/5/2018,110100570122--AMI,110,2018,May,2,1750
1/5/2018,110100570122--AMI,115,2018,May,2,5250
1/5/2018,110100570122--AMI,120,2018,May,2,3150
1/5/2018,110100570122--AMI,127,2018,May,2,19250
1/5/2018,110100570122--AMI,128,2018,May,2,12600
1/5/2018,110100570122--AMI,136,2018,May,2,350
1/5/2018,110100570122--AMI,139,2018,May,2,5250
1/5/2018,110100570122--AMI,148,2018,May,2,1750
1/5/2018,110100570122--AMI,149,2018,May,2,1750
1/5/2018,110100570122--AMI,153,2018,May,2,21000
1/5/2018,110100570122--AMI,154,2018,May,2,8750
1/5/2018,110100570122--AMI,159,2018,May,2,1050
1/5/2018,110100570122--AMI,168,2018,May,2,5250
1/5/2018,110100570122--AMI,169,2018,May,2,12250
1/5/2018,110100570122--AMI,170,2018,May,2,1750
1/5/2018,110100570122--AMI,173,2018,May,2,1750
1/5/2018,110100570122--AMI,176,2018,May,2,875
1/5/2018,110100570122--AMI,184,2018,May,2,1750
1/5/2018,110100570122--AMI,185,2018,May,2,8750
1/5/2018,110100570122--AMI,191,2018,May,2,1750
1/5/2018,110100570122--AMI,194,2018,May,2,1750
1/5/2018,110100570122--AMI,196,2018,May,2,1050
1/5/2018,110100570122--AMI,213,2018,May,2,2625
1/5/2018,110100570122--AMI,225,2018,May,2,1750
1/5/2018,110100570122--AMI,226,2018,May,2,1750
1/5/2018,110100570122--AMI,229,2018,May,2,875
1/5/2018,110100570122--AMI,232,2018,May,2,1750
1/5/2018,110100570122--AMI,234,2018,May,2,22050
1/5/2018,110100570122--AMI,236,2018,May,2,3500
1/5/2018,110100570122--AMI,240,2018,May,2,5250
1/5/2018,110100570122--AMI,243,2018,May,2,1750
1/5/2018,110100570122--AMI,244,2018,May,2,1225
1/5/2018,110100570122--AMI,246,2018,May,2,6125
1/5/2018,110100570122--AMI,250,2018,May,2,17500
1/5/2018,110100570122--AMI,253,2018,May,2,1750
1/5/2018,110100570122--AMI,257,2018,May,2,6650
1/5/2018,110100570122--AMI,261,2018,May,2,1750
1/5/2018,110100570122--AMI,265,2018,May,2,875
1/5/2018,110100570122--AMI,267,2018,May,2,-1750
1/5/2018,110100570122--AMI,272,2018,May,2,17500
1/5/2018,110100570122--AMI,276,2018,May,2,1750
1/5/2018,110100570122--AMI,280,2018,May,2,9450
1/5/2018,110100570122--AMI,284,2018,May,2,875
1/5/2018,110100570122--AMI,290,2018,May,2,3150
1/5/2018,110100570122--AMI,296,2018,May,2,4725
1/5/2018,110100570122--AMI,298,2018,May,2,1750
1/5/2018,110100570122--AMI,306,2018,May,2,20300
1/5/2018,110100570122--AMI,310,2018,May,2,1750
1/5/2018,110100570122--AMI,316,2018,May,2,700
1/5/2018,110100570122--AMI,317,2018,May,2,1750
1/5/2018,110100570122--AMI,319,2018,May,2,700
1/5/2018,110100570122--AMI,322,2018,May,2,3500
1/5/2018,110100570122--AMI,323,2018,May,2,525
1/5/2018,110100570122--AMI,324,2018,May,2,875
1/5/2018,110100570122--AMI,390,2018,May,2,6300
1/5/2018,110100570122--AMI,396,2018,May,2,3500
1/5/2018,110100570122--AMI,398,2018,May,2,875
1/5/2018,110100570122--AMI,406,2018,May,2,875
1/5/2018,110100570122--AMI,413,2018,May,2,875
1/5/2018,110100570122--AMI,421,2018,May,2,8750
1/5/2018,110100570122--AMI,423,2018,May,2,2625
1/5/2018,110100570122--AMI,425,2018,May,2,4375
1/5/2018,110100570122--AMI,459,2018,May,2,1750
1/5/2018,110100570122--AMI,467,2018,May,2,875
1/5/2018,110100570122--AMI,473,2018,May,2,3500
1/5/2018,110100570122--AMI,474,2018,May,2,525
1/5/2018,110100570122--AMI,480,2018,May,2,3500
1/5/2018,110100570122--AMI,484,2018,May,2,875
1/5/2018,110100570122--AMI,486,2018,May,2,1750
1/5/2018,110100570122--AMI,492,2018,May,2,700
1/5/2018,110100570122--AMI,496,2018,May,2,525
1/5/2018,110100570122--AMI,507,2018,May,2,1400
1/5/2018,110100570122--AMI,513,2018,May,2,3500
1/5/2018,110100570122--AMI,517,2018,May,2,1750
1/5/2018,110100570122--AMI,519,2018,May,2,875
1/5/2018,110100570122--AMI,527,2018,May,2,1750
1/5/2018,110100570122--AMI,530,2018,May,2,350
1/5/2018,110100570122--AMI,535,2018,May,2,1750
1/5/2018,110100570122--AMI,543,2018,May,2,14000
1/5/2018,110100570122--AMI,552,2018,May,2,1750
1/5/2018,110100570122--AMI,557,2018,May,2,350
1/5/2018,110100570122--AMI,559,2018,May,2,5250
1/5/2018,110100570122--AMI,565,2018,May,2,5250
1/5/2018,110100570122--AMI,568,2018,May,2,1750
1/5/2018,110100570122--AMI,570,2018,May,2,2100
1/5/2018,110100570122--AMI,571,2018,May,2,-14000
1/5/2018,110100570122--AMI,572,2018,May,2,1750
1/5/2018,110100570122--AMI,581,2018,May,2,875
1/5/2018,110100570122--AMI,583,2018,May,2,3500
1/5/2018,110100570122--AMI,586,2018,May,2,5250
1/5/2018,110100570122--AMI,588,2018,May,2,1750
1/5/2018,110100570122--AMI,593,2018,May,2,2625
1/5/2018,110100570122--AMI,594,2018,May,2,1750
1/5/2018,110100570122--AMI,597,2018,May,2,3500
1/5/2018,110100570122--AMI,599,2018,May,2,2100
1/5/2018,110100570122--AMI,600,2018,May,2,1750
1/5/2018,110100570122--AMI,607,2018,May,2,1750
1/5/2018,110100570122--AMI,608,2018,May,2,6300
1/5/2018,110100570122--AMI,611,2018,May,2,875
1/5/2018,110100570122--AMI,614,2018,May,2,3500
1/5/2018,110100570122--AMI,619,2018,May,2,1750
1/5/2018,110100570122--AMI,623,2018,May,2,5250
1/5/2018,110100570122--AMI,626,2018,May,2,350
1/5/2018,110100570122--AMI,627,2018,May,2,3500
1/5/2018,110100570122--AMI,641,2018,May,2,700
1/5/2018,110100570122--AMI,642,2018,May,2,12250
1/5/2018,110100570122--AMI,644,2018,May,2,3500
1/5/2018,110100570122--AMI,655,2018,May,2,875
1/5/2018,110100570122--AMI,657,2018,May,2,1750
1/5/2018,110100570122--AMI,666,2018,May,2,2625
1/5/2018,110100570122--AMI,670,2018,May,2,700
1/5/2018,110100570122--AMI,672,2018,May,2,3150
1/5/2018,110100570122--AMI,674,2018,May,2,1050
1/5/2018,110100570122--AMI,684,2018,May,2,1750
1/5/2018,110100570122--AMI,685,2018,May,2,525
1/5/2018,110100570122--AMI,689,2018,May,2,525
1/5/2018,110100570122--AMI,699,2018,May,2,875
1/5/2018,110100570122--AMI,701,2018,May,2,2625
1/5/2018,110100570122--AMI,704,2018,May,2,525
1/5/2018,110100570122--AMI,718,2018,May,2,175
1/5/2018,110100570122--AMI,719,2018,May,2,525
1/5/2018,110100570122--AMI,723,2018,May,2,350
1/5/2018,110100570122--AMI,724,2018,May,2,175
1/5/2018,110100570122--AMI,730,2018,May,2,2100
1/5/2018,110100570122--AMI,732,2018,May,2,1050
1/5/2018,110100570122--AMI,733,2018,May,2,525
1/5/2018,110100570122--AMI,742,2018,May,2,350
1/5/2018,110100570122--AMI,750,2018,May,2,350
1/5/2018,110100570122--AMI,752,2018,May,2,350
1/5/2018,110100570122--AMI,756,2018,May,2,350
