x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,Y 10 min,Y 15 min,Y 20 min,Y 30 min,Y 45 min,Y 60 min
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,5.00,50 rpm,SLS,0.25,78.86,92.68,97.42,99.65,100.97,100.97
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,5.00,50 rpm,SLS,0.25,76.17,89.02,94.7,97.9,99.07,100.39
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,5.00,50 rpm,SLS,0.25,78.56,90.82,95.73,98.31,99.53,99.62
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,5.00,50 rpm,SLS,0.25,79.2,90.7,95.6,98.62,99.74,100.59
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,11.00,50 rpm,SLS,0.25,47.74,78.92,89.78,95.69,98.03,98.83
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,11.00,50 rpm,SLS,0.25,47.58,78.87,89.14,95.13,97.93,98.69
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,11.00,50 rpm,SLS,0.25,38.42,72.93,88.23,94.99,98.55,100.35
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,11.00,50 rpm,SLS,0.25,46.38,80.24,90.4,95.77,98.22,98.9
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,11.00,50 rpm,SLS,0.25,40.38,77.788,89.87,95.83,99.03,99.86
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,63.3,89.72,98.31,101.87,103.86,104.41
